Identifiant;Joueurs;Argent;Pari;Victoire;Defaite;Gains;Moderateur
2091103;144;283,57;14,3;125,459984;0,25;408,78;0
2091104;134;279,3;1,14;5,810003;177,04;108,07001;0
2091105;139;282,87;3,91;125,01;5,96;401,91992;0
2091106;139;271,44;1,15;6,900001;181,85;96,490005;0
2091107;142;304,88;1;0;304,88;0;0
2091108;161;463,81;2,46;118,959984;15,45;567,3201;0
2091109;157;342,79;1,45;36,499992;119,42999;259,86002;0
2091110;160;302,06;2,73;93,69998;25,939999;369,81995;0
2091111;155;1218,63;5,37;184,01006;3,1599998;1399,4799;0
2091112;129;236,01;2,09;64,04;12,020001;288,03006;0
2091113;122;225,72;1,4;32,760002;57,719997;200,75995;0
2091114;127;220,31;1,79;38,779995;33,2;225,89005;0
2091115;121;228,16;10,63;118,55002;0;346,7099;0
2091116;125;208,59;1,62;37,119987;55,889996;189,82002;0
2091117;121;209,03;3,3;120,59998;0;329,62994;0
2091118;118;229,6;2,87;84,049965;2,57;311,07996;0
2091119;125;239,6;1,44;26,230005;77,68;188,15;0
2091120;120;202,03;2,79;70,71999;13,44;259,31006;0
2091121;128;243,48;3,96;132,05003;18,439999;357,0899;0
2091122;117;221,78;1,98;46,100002;43,059998;224,82002;0
2091123;120;250,19;9,22;103,34;1;352,52994;0
2091124;121;257,53;2,32;68,200005;51,590004;274,1401;0
2091125;117;223,25;1,37;20,370005;84,03001;159,58998;0
2091126;120;275,57;1,59;46,460007;57,960003;264,06998;0
2091127;119;290,01;1,77;63,819996;39,4;314,42993;0
2091128;118;312,67;1,25;14,260003;187,71005;139,22002;0
2091129;122;266,05;1,28;26,159996;85,73;206,48006;0
2091130;125;315,29;1,61;68,86999;40,390003;343,76987;0
2091131;121;274,43;2,03;102,17;26,670002;349,93008;0
2091132;121;259,38;1,57;47,09;45,669994;260,79996;0
2091133;116;230,26;4,76;66,93001;6,0600004;291,12988;0
2091134;121;276,49;1,2;17,970001;126,09999;168,36008;0
2091135;126;283,48;6,87;107,00995;0;390,49008;0
2091136;121;223,9;1;0;223,89998;0;0
2091137;113;227,17;4,26;109,62998;0;336,79987;0
2091138;123;274,77;1,39;34,170006;55,819996;253,1199;0
2091139;134;255,22;1,35;26,550005;99,92;181,85;0
2091140;128;276,36;2,58;119,52003;8,190001;387,69003;0
2091141;141;269,73;1,33;18,729996;126,91999;161,54001;0
2091142;130;249,01;35;108,86001;0;357,87;0
2091143;137;270,24;1,29;24,110004;96,100006;198,24998;0
2091144;130;255,38;3,8;85,84998;3;338,23007;0
2091145;129;254,52;1,15;6,5500007;176,22997;84,84002;0
2091146;128;266,94;1,01;0,00999999;265,83005;1,12;0
2091147;161;418,23;17,55;153,99;0;572,21985;0
2091148;160;312,51;54,75;192,57007;0;505,0801;0
2091149;159;333,61;1,72;73,45002;79,29999;327,7599;0
2091150;157;338,35;1,63;61,91998;64,56999;335,69995;0
2091151;149;242;2,13;63,350002;27,04;278,31;0
2091152;144;272,14;1;0;272,13998;0;0
2091153;138;267,25;1,04;0,63999957;242,92;24,97;0
2091154;197;500,72;3,04;206,70013;15,27;692,14996;0
2091155;164;394,01;4,75;149,32996;5,48;537,85974;0
2091156;167;437,29;18,96;251,03001;0;688,31995;0
2091157;156;291,06;4,54;180,72993;3,85;467,94012;0
2091158;145;366,01;1,43;27,980001;175,49998;218,48997;0
2091159;140;249,01;1,49;23,87;99,13001;173,74997;0
2091160;144;251,58;1,03;0,15999985;246,21;5,5300007;0
2091161;148;334,83;9,95;148,12996;2;480,96002;0
2091162;164;386,5;5,56;201,46997;6,03;581,94037;0
2091163;154;278,44;1;0;278,44003;0;0
2091164;144;312,94;2,29;104,299965;28,490002;388,75006;0
2091165;153;332,8;1,03;0,1599999;326,37994;6,58;0
2091166;172;376,17;1,48;49,170006;131,21;294,1299;0
2091167;161;370,36;1,46;50,869976;95,02003;326,20972;0
2091168;158;512,06;1,74;108,450005;72,72999;547,7798;0
2091169;172;404,22;1,41;49,179985;128,63002;324,76987;0
2091170;146;288,82;4,81;143,51;2,81;429,51993;0
2091171;152;398,02;3,96;176,84998;12,15;562,7201;0
2091172;140;323,18;68,36;170,54997;0;493,7299;0
2091173;137;234,69;2,69;82,830025;26,779997;290,74005;0
2091174;126;307,65;2,38;79,910034;21,239998;366,31995;0
2091175;110;251,67;6,73;126,38997;0;378,05988;0
2091176;127;252,52;1,8;49,239994;66,649994;235,11002;0
